ID,Usia,Status,Kelamin,Memiliki_Mobil,Penghasilan,Beli_Mobil
502,35,1,1,1,296,1
503,43,2,1,2,315,1
504,37,0,1,2,407,1
505,26,3,0,0,185,0
506,40,2,1,1,152,0
507,31,3,1,0,177,0
508,64,0,0,2,356,1
509,64,3,0,2,238,1
510,65,0,0,0,241,1
511,45,2,0,0,359,1
512,57,0,1,0,177,0
513,52,2,1,2,312,1
514,38,3,0,1,150,0
515,27,0,1,2,139,0
516,49,2,1,2,215,0
517,29,0,0,0,325,1
518,26,0,0,2,223,1
519,52,1,1,1,181,0
520,41,1,0,0,307,1
521,64,2,0,2,423,1
522,36,2,0,2,348,1
523,28,1,0,0,166,0
524,57,3,0,2,261,1
525,62,0,1,1,325,1
526,59,1,0,1,232,1
527,53,0,0,1,336,1
528,47,0,0,2,135,0
529,61,0,0,2,403,1
530,58,2,1,0,140,0
531,39,1,0,1,297,1
532,50,0,1,2,326,1
533,43,3,0,2,188,0
534,42,1,1,2,354,1
535,59,1,0,0,365,1
536,28,1,1,0,131,0
537,43,2,0,1,331,1
538,63,3,0,0,139,0
539,64,3,1,2,225,1
540,53,3,0,0,404,1
541,59,2,0,0,371,1
542,44,2,1,1,331,1
543,41,1,0,2,161,0
544,30,3,1,1,239,1
545,25,0,0,1,373,1
546,60,1,0,2,127,0
547,38,0,0,0,187,0
548,54,2,1,1,366,1
549,36,2,0,0,365,1
550,54,3,0,1,131,0
551,62,3,1,0,300,1
552,38,1,1,2,220,1
553,64,3,1,0,446,1
554,51,2,0,0,429,1
555,39,3,0,1,371,1
556,56,2,1,0,435,1
557,45,1,1,1,311,1
558,49,1,1,1,410,1
559,55,0,0,1,357,1
560,51,2,0,2,316,1
561,60,0,0,1,250,1
562,42,2,1,2,180,0
563,46,0,1,0,140,0
564,54,1,0,0,268,1
565,29,2,1,2,292,1
566,64,1,1,2,386,1
567,63,2,0,1,374,1
568,30,0,1,2,446,1
569,53,1,1,0,162,0
570,63,1,0,2,382,1
571,35,0,0,2,234,1
572,53,1,0,2,274,1
573,61,2,0,1,164,0
574,39,1,0,1,242,1
575,37,1,1,1,323,1
576,26,2,0,0,316,1
577,36,2,0,0,372,1
578,55,3,0,2,340,1
579,47,3,1,0,392,1
580,58,1,1,0,275,1
581,50,3,0,2,421,1
582,48,3,0,2,189,0
583,33,3,0,2,418,1
584,42,3,0,2,426,1
585,49,2,0,1,272,1
586,55,0,0,2,287,1
587,30,1,1,1,147,0
588,37,0,1,0,392,1
589,34,2,1,0,208,0
590,45,2,1,2,344,1
591,34,3,1,1,445,1
592,34,2,1,1,221,1
593,43,3,0,2,213,0
594,50,2,0,2,356,1
595,64,1,0,2,158,0
596,54,3,1,1,386,1
597,61,3,0,1,248,1
598,59,0,0,2,158,0
599,35,3,0,1,213,0
600,32,2,1,2,133,0
601,49,0,1,1,326,1
602,48,2,0,1,207,0
603,37,1,0,2,396,1
604,51,2,1,2,371,1
605,59,2,0,2,185,0
606,48,0,0,2,320,1
607,53,1,0,1,348,1
608,63,0,0,1,168,0
609,65,0,1,0,201,0
610,56,3,1,1,245,1
611,41,1,1,1,154,0
612,43,3,1,1,207,0
613,56,0,1,2,151,0
614,57,3,1,1,213,0
615,60,2,0,0,271,1
616,30,2,0,1,372,1
617,58,0,1,2,398,1
618,40,1,1,1,151,0
619,48,3,1,0,288,1
620,36,2,1,0,275,1
621,40,2,1,0,292,1
622,35,0,0,2,294,1
623,53,3,1,1,350,1
624,47,1,0,2,443,1
625,48,0,0,2,145,0
626,26,1,0,1,429,1
627,42,1,0,2,192,0
628,52,3,0,0,359,1
629,56,2,0,1,178,0
630,53,1,0,2,233,1
631,32,0,0,1,445,1
632,44,0,1,2,222,1
633,51,3,1,0,382,1
634,36,3,0,0,209,0
635,53,3,1,2,400,1
636,49,1,0,0,371,1
637,56,3,1,1,324,1
638,41,3,0,0,200,0
639,39,3,1,2,221,1
640,59,2,0,0,243,1
641,65,3,1,0,229,1
642,47,0,0,0,132,0
643,44,0,1,1,426,1
644,37,0,1,1,383,1
645,46,2,1,1,354,1
646,50,1,1,0,312,1
647,45,2,0,1,285,1
648,44,2,1,1,171,0
649,55,3,0,2,176,0
650,52,1,1,2,237,1
651,32,2,0,0,444,1
652,45,0,1,2,385,1
653,34,0,1,2,329,1
654,41,2,1,1,223,1
655,32,0,1,2,176,0
656,62,2,0,1,367,1
657,34,0,0,1,240,1
658,65,1,0,0,300,1
659,27,1,0,2,148,0
660,58,1,0,0,324,1
661,46,3,0,1,268,1
662,65,1,1,2,296,1
663,33,0,1,1,223,1
664,37,1,0,1,294,1
665,38,3,1,0,402,1
666,26,0,1,2,305,1
667,65,0,0,2,205,0
668,55,1,0,2,199,0
669,39,0,1,0,163,0
670,62,0,0,1,307,1
671,39,1,0,0,404,1
672,49,1,0,0,325,1
673,55,2,0,0,353,1
674,38,0,0,1,395,1
675,58,1,1,0,308,1
676,24,2,0,1,434,1
677,39,2,0,2,347,1
678,34,2,0,2,175,0
679,45,1,1,1,382,1
680,55,2,1,0,182,0
681,65,0,0,1,344,1
682,35,2,1,2,285,1
683,27,2,0,0,226,1
684,58,0,0,1,387,1
685,44,0,1,2,176,0
686,59,1,0,1,172,0
687,44,2,0,0,216,0
688,36,2,1,1,306,1
689,65,1,0,0,152,0
690,51,3,0,2,330,1
691,41,3,1,1,269,1
692,53,2,1,0,264,1
693,44,2,1,1,236,1
694,57,2,0,1,368,1
695,39,3,0,1,273,1
696,25,1,0,2,356,1
697,62,0,1,1,153,0
698,42,3,1,1,429,1
699,32,3,1,2,160,0
700,50,3,1,1,350,1
701,34,3,1,0,306,1
702,37,3,0,2,407,1
703,51,2,0,1,214,0
704,24,1,1,0,134,0
705,51,2,0,2,213,0
706,44,1,0,0,317,1
707,31,3,1,0,154,0
708,64,0,0,2,190,0
709,26,3,1,0,204,0
710,39,2,0,1,422,1
711,49,0,1,0,294,1
712,63,2,0,1,211,0
713,59,0,1,0,414,1
714,57,3,0,2,215,0
715,38,0,1,1,290,1
716,52,0,1,0,194,0
717,62,3,1,2,221,1
718,29,0,1,2,197,0
719,57,0,1,2,366,1
720,54,0,0,0,364,1
721,61,0,1,2,303,1
722,36,0,0,0,418,1
723,30,1,0,1,403,1
724,47,0,1,2,172,0
725,40,0,0,2,326,1
726,64,2,0,1,440,1
727,62,1,1,0,357,1
728,45,2,1,1,131,0
729,43,3,0,0,160,0
730,61,3,0,0,378,1
731,57,2,1,2,219,0
732,44,2,1,2,178,0
733,43,1,1,1,377,1
734,41,2,1,0,174,0
735,35,3,0,2,444,1
736,57,0,0,0,151,0
737,25,0,0,1,413,1
738,31,3,1,1,427,1
739,43,0,0,0,450,1
740,50,3,0,2,229,1
741,55,0,0,0,140,0
742,49,1,1,0,314,1
743,60,1,1,1,191,0
744,25,2,0,0,169,0
745,28,2,0,2,160,0
746,41,0,0,0,303,1
747,37,1,0,0,418,1
748,50,3,0,0,347,1
749,52,3,1,1,230,1
750,34,3,1,1,163,0
751,32,1,1,2,373,1
752,51,0,0,2,251,1
753,46,1,1,1,355,1
754,42,2,1,0,404,1
755,38,0,1,1,159,0
756,40,2,0,2,353,1
757,55,1,0,0,423,1
758,43,1,0,1,151,0
759,55,2,0,2,397,1
760,43,1,0,0,400,1
761,61,1,1,0,186,0
762,59,0,0,0,190,0
763,53,3,1,2,286,1
764,45,3,0,0,151,0
765,63,0,1,2,341,1
766,43,3,0,0,384,1
767,32,3,1,1,293,1
768,35,2,1,1,357,1
769,60,2,1,1,414,1
770,64,0,1,2,206,0
771,24,1,1,2,181,0
772,54,0,1,0,188,0
773,31,0,1,1,379,1
774,28,1,1,2,291,1
775,40,1,1,2,348,1
776,43,1,0,0,418,1
777,30,3,0,0,380,1
778,57,0,0,2,391,1
779,38,2,1,0,310,1
780,42,1,0,0,402,1
781,60,2,1,2,299,1
782,26,1,0,2,301,1
783,63,1,1,2,402,1
784,50,2,1,1,250,1
785,57,0,0,1,150,0
786,64,2,0,2,408,1
787,41,0,0,1,436,1
788,30,2,0,0,417,1
789,38,0,1,0,254,1
790,52,0,0,1,421,1
791,41,1,1,0,317,1
792,57,0,1,0,340,1
793,55,0,1,1,380,1
794,55,0,0,1,173,0
795,36,1,0,2,336,1
796,37,0,1,0,193,0
797,36,3,0,0,133,0
798,31,2,1,0,213,0
799,51,1,1,0,288,1
800,62,0,0,0,430,1
801,52,0,0,1,369,1
802,32,1,0,2,184,0
803,49,3,1,0,241,1
804,51,1,0,0,299,1
805,26,2,0,2,374,1
806,27,3,1,0,382,1
807,41,1,0,0,259,1
808,38,0,1,1,335,1
809,35,2,0,1,282,1
810,61,0,0,1,285,1
811,63,3,1,1,425,1
812,31,1,1,1,324,1
813,40,3,1,0,426,1
814,61,3,1,0,443,1
815,53,2,0,1,236,1
816,37,2,0,0,362,1
817,55,0,0,0,349,1
818,46,0,1,2,447,1
819,48,0,0,2,447,1
820,26,0,1,2,306,1
821,34,1,0,2,233,1
822,35,1,0,0,254,1
823,55,1,0,2,203,0
824,25,0,0,0,369,1
825,63,2,0,0,199,0
826,49,2,0,1,437,1
827,34,1,0,2,418,1
828,65,1,1,1,257,1
829,57,3,0,0,162,0
830,41,3,1,2,422,1
831,44,1,0,1,351,1
832,55,3,0,1,274,1
833,26,3,1,0,178,0
834,25,3,1,2,429,1
835,55,1,1,2,296,1
836,47,0,0,2,301,1
837,28,1,0,2,449,1
838,37,0,0,1,369,1
839,37,3,0,2,346,1
840,27,0,0,1,279,1
841,37,3,0,2,392,1
842,38,3,1,1,193,0
843,53,2,0,0,353,1
844,34,3,0,1,312,1
845,32,1,0,1,249,1
846,60,1,1,1,255,1
847,25,0,0,1,248,1
848,30,1,1,2,354,1
849,50,3,0,2,154,0
850,49,0,1,0,261,1
851,30,3,1,1,215,0
852,45,0,0,0,187,0
853,48,1,1,0,314,1
854,58,3,1,1,388,1
855,62,1,0,1,246,1
856,55,2,0,0,399,1
857,52,1,1,0,321,1
858,35,0,0,1,337,1
859,63,3,1,2,404,1
860,26,1,1,0,347,1
861,48,2,1,2,309,1
862,43,0,0,2,348,1
863,36,2,0,1,319,1
864,60,2,1,1,394,1
865,43,3,0,1,146,0
866,30,2,1,0,213,0
867,48,3,1,2,180,0
868,32,0,1,1,229,1
869,45,0,0,0,206,0
870,51,3,0,1,194,0
871,39,2,0,0,394,1
872,54,0,1,2,185,0
873,65,2,0,2,214,0
874,40,1,1,1,418,1
875,29,3,0,0,427,1
876,43,1,0,0,206,0
877,40,0,1,2,153,0
878,24,1,1,1,434,1
879,54,3,1,0,389,1
880,56,2,0,1,162,0
881,51,3,1,0,258,1
882,35,0,0,0,204,0
883,36,2,1,0,315,1
884,26,1,0,0,146,0
885,57,0,1,1,225,1
886,62,2,1,2,166,0
887,62,2,1,2,348,1
888,36,3,0,1,247,1
889,40,3,1,2,144,0
890,34,0,0,0,233,1
891,30,3,0,0,401,1
892,52,1,1,1,379,1
893,51,0,1,0,390,1
894,36,1,1,2,308,1
895,33,2,1,1,359,1
896,61,0,1,1,435,1
897,36,2,1,2,272,1
898,25,0,1,1,165,0
899,60,1,0,0,329,0
900,37,0,0,1,301,0
901,32,0,1,2,418,1
902,36,1,1,2,445,1
903,29,2,1,2,387,1
904,29,0,0,2,305,0
905,56,3,0,1,337,1
906,59,3,0,0,352,1
907,42,3,0,0,323,1
908,51,0,1,2,358,1
909,32,0,1,0,266,1
910,28,0,1,0,348,1
911,61,0,0,1,346,1
912,60,3,1,1,360,1
913,52,1,1,1,285,1
914,42,3,0,1,258,1
915,55,1,1,2,360,1
916,44,3,0,2,257,1
917,25,0,0,2,221,1
918,30,3,0,1,219,0
919,29,2,1,0,189,0
920,53,3,0,2,302,1
921,54,1,1,1,370,1
922,58,3,1,1,234,1
923,62,1,1,1,430,1
924,28,1,1,1,418,1
925,32,0,1,2,382,1
926,59,0,0,2,140,0
927,32,3,1,0,292,1
928,44,3,1,0,155,0
929,64,1,1,1,420,1
930,43,0,1,2,223,1
931,28,3,1,1,287,1
932,31,3,1,2,335,1
933,39,0,1,0,401,1
934,30,2,1,2,128,0
935,29,3,0,1,354,1
936,57,0,1,1,209,0
937,31,0,1,0,183,0
938,44,3,0,1,330,1
939,64,0,0,0,186,0
940,29,2,0,0,300,1
941,36,3,1,0,404,1
942,40,0,0,0,265,1
943,41,3,1,1,167,0
944,35,1,1,2,176,0
945,35,0,0,2,134,0
946,64,1,1,0,262,1
947,32,1,0,0,272,1
948,39,2,1,1,377,1
949,55,3,0,1,399,1
950,37,2,1,0,346,1
951,60,2,0,0,376,1
952,53,2,1,2,232,1
953,49,3,1,1,225,1
954,46,2,0,1,350,1
955,29,3,1,2,181,0
956,63,1,1,2,419,1
957,47,1,0,0,177,0
958,31,2,0,0,136,0
959,46,2,0,0,285,1
960,60,2,1,1,318,1
961,47,3,1,1,125,0
962,25,0,1,0,127,0
963,65,2,0,0,155,0
964,29,3,0,0,401,1
965,32,0,1,2,140,0
966,58,3,1,2,213,0
967,55,1,0,1,130,0
968,33,2,0,2,145,0
969,48,2,0,0,259,1
970,45,3,0,1,345,1
971,51,2,0,2,134,0
972,63,0,0,2,428,1
973,24,3,0,1,281,1
974,61,0,1,1,330,1
975,40,2,1,2,229,1
976,46,1,1,1,355,1
977,34,2,0,1,330,1
978,53,3,1,0,293,1
979,38,2,1,1,154,0
980,63,2,1,2,400,1
981,35,0,1,0,407,1
982,51,2,0,0,125,0
983,51,0,1,2,446,1
984,48,0,0,1,295,1
985,37,1,1,2,157,0
986,45,1,0,0,162,0
987,49,0,0,2,261,1
988,31,3,0,0,150,0
989,51,2,0,1,228,1
990,51,1,0,2,419,1
991,35,1,0,2,215,0
992,52,0,0,0,252,1
993,62,3,0,0,401,1
994,25,2,0,0,208,0
995,47,3,0,1,135,0
996,51,0,1,2,293,1
997,61,1,0,2,275,1
998,45,1,0,0,406,1
999,48,0,1,2,432,1
1000,40,3,1,1,380,1
